...Mass Properties...
14 Num Comps
13 Total Num Meshes
40512 Total Num Tris

7.881915284987734e+04             Total Mass
3.599556759590418e+01 -5.540130923158147e-04 -4.804688696740172e-01       Center of Gravity
3.205977023551632e+07 2.272825535662856e+07 5.463132014579119e+07       Ixx, Iyy, Izz
-1.773387639035461e+03 -3.743597654113245e+05 6.441178485006103e+02       Ixy, Ixz, Iyz
1.360383056997547e+03             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
3.425344508330487e+01	2.162976593984643e+04	2.832990706228976e+01	1.482133688102118e-05	-1.048374736700790e-01	3.334271444518423e+05	1.200836827443456e+05	3.435950169931365e+05	-3.373185584522367e+02	-3.087748694042754e+02	2.243703887470747e+02	4.325953187969347e+02
3.482268379452655e+01	2.171180448152512e+04	2.835444016523895e+01	1.476533412620601e-05	-1.073163056865869e-01	3.368774344696574e+05	1.235792008028947e+05	3.504515878572467e+05	-3.379558259913399e+02	-6.569403706444400e+02	2.247361223121171e+02	4.342360896305085e+02
3.539192250574824e+01	2.182183525498263e+04	2.838992478951880e+01	1.469088387419488e-05	-1.106116733677002e-01	3.415199647281988e+05	1.290723465779566e+05	3.604596765681373e+05	-3.389333934220097e+02	-1.160512224830366e+03	2.257259524642549e+02	4.364367050996586e+02
3.596116121696993e+01	2.195425324019650e+04	2.843559101475234e+01	1.460227520131996e-05	-1.145337307005592e-01	3.471141661565290e+05	1.367065290576280e+05	3.735273635755942e+05	-3.403115324244089e+02	-1.808566152075580e+03	2.270931459304371e+02	4.390850648039361e+02
3.653039992819161e+01	2.210697113377320e+04	2.849151103014865e+01	1.450140074429173e-05	-1.189987045132654e-01	3.535727886204561e+05	1.467508914142463e+05	3.898379479741954e+05	-3.420565891521343e+02	-2.602126327991671e+03	2.286439455635560e+02	4.421394226754701e+02
3.709963863941329e+01	2.227828359861488e+04	2.855770461960930e+01	1.438988987788497e-05	-1.239344743076721e-01	3.608206506880641e+05	1.594704442059760e+05	4.095826177443648e+05	-3.440217389799054e+02	-3.541488025601914e+03	2.302648448986640e+02	4.455656719723036e+02
3.766887735063498e+01	2.246271155152628e+04	2.863251103519055e+01	1.427174305816268e-05	-1.291639691834113e-01	3.686287758883946e+05	1.747892700330931e+05	4.324654228774201e+05	-3.463545547544351e+02	-4.603066185930937e+03	2.319862385749023e+02	4.492542310305315e+02
3.823811606185667e+01	2.266073870060494e+04	2.871645227840146e+01	1.414702547382344e-05	-1.346843037096774e-01	3.770179464154935e+05	1.930479780263121e+05	4.588462791919399e+05	-3.487550174461894e+02	-5.794266774581622e+03	2.338202780781191e+02	4.532147740121047e+02
3.880735477307835e+01	2.286973492545032e+04	2.880866849925163e+01	1.401774216884583e-05	-1.404067292706005e-01	3.858761172560106e+05	2.142915634389104e+05	4.886627512988105e+05	-3.512994570873586e+02	-7.102905032161914e+03	2.356939970744250e+02	4.573946985090124e+02
3.937659348430004e+01	2.308653840871371e+04	2.890791087621881e+01	1.388610288726460e-05	-1.462334366655027e-01	3.950649818841527e+05	2.384404297672989e+05	5.217029364278468e+05	-3.540171719862036e+02	-8.511237832569514e+03	2.375054046981382e+02	4.617307681742802e+02
