...Mass Properties...
12 Num Comps
10 Total Num Meshes
48320 Total Num Tris

8.440807431615370e+04             Total Mass
4.258583573887024e+01 -5.590264695196078e-08 -5.203008942630564e-01       Center of Gravity
3.308628566809737e+07 1.156985074713827e+07 4.453056515405548e+07       Ixx, Iyy, Izz
-7.028785261588204e+02 -2.185114630034329e+05 4.910053461337135e+02       Ixy, Ixz, Iyz
1.217793114987516e+03             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
5.501857902822726e+01	5.344680034045684e+04	4.539476772732665e+01	-8.715816215883527e-08	-7.071036454501648e-01	3.147019039961264e+07	1.609422519927163e+06	3.299437195995312e+07	-6.203037829643054e+02	9.062232998433708e+03	4.313609270081181e+02	1.068936006809162e+03
5.548334641784064e+01	5.348175178982116e+04	4.540136082563512e+01	-8.710120244936575e-08	-7.065235318407599e-01	3.156263238736346e+07	1.613006978802287e+06	3.309034266148421e+07	-6.204802345893864e+02	9.375023323936406e+03	4.315469022604780e+02	1.069635035796448e+03
5.594811380745401e+01	5.348175178982116e+04	4.540136082563512e+01	-8.710120244936575e-08	-7.065235318407599e-01	3.156263238736346e+07	1.613006978802287e+06	3.309034266148421e+07	-6.204802345893864e+02	9.375023323936406e+03	4.315469022604780e+02	1.069635035796448e+03
5.641288119706739e+01	5.348175178982116e+04	4.540136082563512e+01	-8.710120244936575e-08	-7.065235318407599e-01	3.156263238736346e+07	1.613006978802287e+06	3.309034266148421e+07	-6.204802345893864e+02	9.375023323936406e+03	4.315469022604780e+02	1.069635035796448e+03
5.687764858668076e+01	5.348175178982116e+04	4.540136082563512e+01	-8.710120244936575e-08	-7.065235318407599e-01	3.156263238736346e+07	1.613006978802287e+06	3.309034266148421e+07	-6.204802345893864e+02	9.375023323936406e+03	4.315469022604780e+02	1.069635035796448e+03
5.734241597629413e+01	5.348175178982116e+04	4.540136082563512e+01	-8.710120244936575e-08	-7.065235318407599e-01	3.156263238736346e+07	1.613006978802287e+06	3.309034266148421e+07	-6.204802345893864e+02	9.375023323936406e+03	4.315469022604780e+02	1.069635035796448e+03
5.780718336590751e+01	5.348175178982116e+04	4.540136082563512e+01	-8.710120244936575e-08	-7.065235318407599e-01	3.156263238736346e+07	1.613006978802287e+06	3.309034266148421e+07	-6.204802345893864e+02	9.375023323936406e+03	4.315469022604780e+02	1.069635035796448e+03
5.827195075552088e+01	5.348175178982116e+04	4.540136082563512e+01	-8.710120244936575e-08	-7.065235318407599e-01	3.156263238736346e+07	1.613006978802287e+06	3.309034266148421e+07	-6.204802345893864e+02	9.375023323936406e+03	4.315469022604780e+02	1.069635035796448e+03
5.873671814513425e+01	5.348175178982116e+04	4.540136082563512e+01	-8.710120244936575e-08	-7.065235318407599e-01	3.156263238736346e+07	1.613006978802287e+06	3.309034266148421e+07	-6.204802345893864e+02	9.375023323936406e+03	4.315469022604780e+02	1.069635035796448e+03
5.920148553474763e+01	5.348175178982116e+04	4.540136082563512e+01	-8.710120244936575e-08	-7.065235318407599e-01	3.156263238736346e+07	1.613006978802287e+06	3.309034266148421e+07	-6.204802345893864e+02	9.375023323936406e+03	4.315469022604780e+02	1.069635035796448e+03
5.966625292436100e+01	5.348175178982116e+04	4.540136082563512e+01	-8.710120244936575e-08	-7.065235318407599e-01	3.156263238736346e+07	1.613006978802287e+06	3.309034266148421e+07	-6.204802345893864e+02	9.375023323936406e+03	4.315469022604780e+02	1.069635035796448e+03
6.013102031397437e+01	5.348175178982116e+04	4.540136082563512e+01	-8.710120244936575e-08	-7.065235318407599e-01	3.156263238736346e+07	1.613006978802287e+06	3.309034266148421e+07	-6.204802345893864e+02	9.375023323936406e+03	4.315469022604780e+02	1.069635035796448e+03
6.059578770358775e+01	5.348175178982116e+04	4.540136082563512e+01	-8.710120244936575e-08	-7.065235318407599e-01	3.156263238736346e+07	1.613006978802287e+06	3.309034266148421e+07	-6.204802345893864e+02	9.375023323936406e+03	4.315469022604780e+02	1.069635035796448e+03
6.106055509320112e+01	5.348175178982116e+04	4.540136082563512e+01	-8.710120244936575e-08	-7.065235318407599e-01	3.156263238736346e+07	1.613006978802287e+06	3.309034266148421e+07	-6.204802345893864e+02	9.375023323936406e+03	4.315469022604780e+02	1.069635035796448e+03
6.152532248281450e+01	5.348175178982116e+04	4.540136082563512e+01	-8.710120244936575e-08	-7.065235318407599e-01	3.156263238736346e+07	1.613006978802287e+06	3.309034266148421e+07	-6.204802345893864e+02	9.375023323936406e+03	4.315469022604780e+02	1.069635035796448e+03
6.199008987242787e+01	5.348175178982116e+04	4.540136082563512e+01	-8.710120244936575e-08	-7.065235318407599e-01	3.156263238736346e+07	1.613006978802287e+06	3.309034266148421e+07	-6.204802345893864e+02	9.375023323936406e+03	4.315469022604780e+02	1.069635035796448e+03
